item_id,image_path,priority,span_m_disp,span_t_disp,label_m,label_t,strict_v1_correct,strict_v2_correct,rules_disagree,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,final_label,confidence,note,extraction_status,coded_explicitly
88,images/item088.png,high,5^2 = 25,"\left( \frac{5}{8} \right)^{-7} \times \left( \frac{8}{5} \right)^{-5} 
= \frac{5^{-7}}{8^{-7}} \times \frac{8^{-5}}{5^{-5}} 
= \frac{5^{-7} \times 8^{-5}}{8^{-7} \times 5^{-5}} 
= 5^{-2} \times 8^{2} = \frac{8^{2}}{5^{2}} = \frac{64}{25}.
\textcolor{red}{\text{Here, } 8^2 = 64 \text{ and } 5^2 = 25.}",text:5^2 = 25,"text:( \frac{5}{8} )^{-7} \times ( \frac{8}{5} )^{-5} = \frac{5^{-7}}{8^{-7}} \times \frac{8^{-5}}{5^{-5}} = \frac{5^{-7} \times 8^{-5}}{8^{-7} \times 5^{-5}} = 5^{-2} \times 8^{2} = \frac{8^{2}}{5^{2}} = \frac{64}{25}. here, 8^2 = 64 and 5^2 = 25",False,False,False,True,False,False,False,False,False,False,False,True,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
99,images/item099.png,high,x^2 = 8x,"x^2 = 4(2)\textcolor{red}{x}, \quad \text{i.e.,} \quad x^2 = 8\textcolor{red}{x}.","sympy:eq(x**2, 8*x)","sympy:eq(x**2, 4*(2*x))",False,False,False,True,False,False,False,False,False,False,False,True,False,False,true_correct,high,final answer x^2 = 8x matches; truth span carries the derivation form 4(2)x.,extraction_ok,True
103,images/item103.png,high,"A - B = \{1, 3, 5\} \text{ and } B - A = \{8\}.",A - B \neq B - A,"text:a - b = \{1, 3, 5\} and b - a = \{8\}","sympy:ne(a - b, -a + b)",False,False,False,True,False,False,False,False,False,False,True,True,False,False,extraction_issue,high,"truth span is the conclusion A-B != B-A, not the requested set differences.",extraction_issue,True
108,images/item108.png,high,4900y^{2} - 100x^{2} = 275,"\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\frac{25}{4}} = 1, \text{ i.e., } 100y^2 - 44x^2 = 275.","sympy:eq(-100*x**2 + 4900*y**2, 275)","sympy:eq(-x**2/(25/4) + y**2/((11/4)), 1)",False,False,False,True,False,False,False,False,False,False,False,True,False,True,true_correct,high,equivalent hyperbola forms; flagged as an algebraic-equivalence/partial-span case.,extraction_ok,True
132,images/item132.png,high,"x = 3, \quad y = 1.","x = 3, \, y = 1","sympy:eq(x, 3)","sympy:eq(x, 3)",True,True,False,True,False,False,False,False,False,False,False,True,False,False,true_correct,high,"spans give x = 3, y = 1; SymPy keeps only eq(x,3).",extraction_ok,True
177,images/item177.png,high,(3+4)^2 = 5^2,3^2 = 3 \times 3 = 9; \quad 4^2 = 4 \times 4 = 16; \quad 5^2 = 5 \times 5 = 25,text:(3+4)^2 = 5^2,text:3^2 = 3 \times 3 = 9; 4^2 = 4 \times 4 = 16; 5^2 = 5 \times 5 = 25,False,False,False,True,False,False,False,False,False,False,False,True,False,False,extraction_issue,high,"spans show numeric squares, not the conclusion that the triangle is right-angled.",extraction_issue,True
188,images/item188.png,high,\overrightarrow{\beta_2} = \frac{5}{2}\hat{i} + \frac{1}{2}\hat{j} - 3\hat{k},\vec{\beta_1} = \frac{3}{2} \hat{i} - \frac{1}{2} \hat{j} \quad \text{and} \quad \textcolor{red}{\vec{\beta_2} = \frac{5}{2} \hat{i} + \frac{1}{2} \hat{j} - 3\hat{k}}.,"sympy:eq(beta_{2}*overrightarrow, -3*hat*k + ((5/2)*(hat*i) + (hat*j)/2))",text:\vec{\beta_1} = \frac{3}{2} \hat{i} - \frac{1}{2} \hat{j} and \textcolor{red}{\vec{\beta_2} = \frac{5}{2} \hat{i} + \frac{1}{2} \hat{j} - 3\hat{k}},False,False,False,True,False,False,False,False,False,False,False,True,False,True,extraction_issue,high,only part of beta_2 extracted; the answer gives both beta_1 and beta_2.,extraction_issue,True
198,images/item198.png,high,"\text{Minors of the element } a_{ij} \text{ is } M_{ij}. \\
\text{Here } a_{11} = 1. \text{ So } M_{11} = \text{Minor of } a_{11} = 3 \\
M_{12} = \text{Minor of } a_{12} = 4 \\
M_{21} = \text{Minor of } a_{21} = -2 \\
M_{22} = \text{Minor of } a_{22} = 1 \\
\text{Now, Cofactor of } a_{ij} \text{ is } A_{ij}. \text{ So} \\
A_{11} = (-1)^{1+1} M_{11} = 3 \\
A_{12} = (-1)^{1+2} M_{12} = -4 \\
A_{21} = (-1)^{2+1} M_{21} = 2 \\
A_{22} = (-1)^{2+2} M_{22} = 1",A_{22} = (-1)^{2+2} M_{22} = 1,"text:minors of the element a_{ij} is m_{ij}. here a_{11} = 1. so m_{11} = minor of a_{11} = 3 m_{12} = minor of a_{12} = 4 m_{21} = minor of a_{21} = -2 m_{22} = minor of a_{22} = 1 now, cofactor of a_{ij} is a_{ij}. so a_{11} = (-1)^{1+1} m_{11} = 3 a_{12} = (-1)^{1+2} m_{12} = -4 a_{21} = (-1)^{2+1} m_{21} = 2 a_{22} = (-1)^{2+2} m_{22} = 1",text:a_{22} = (-1)^{2+2} m_{22} = 1,False,False,False,True,False,False,False,False,False,False,False,True,False,True,extraction_issue,high,only one cofactor extracted; the answer lists all minors and cofactors.,extraction_issue,True
208,images/item208.png,high,3x^2 = -4y,"x^2 = -4\left(\frac{1}{3}\right)y, \quad \text{i.e.,} \quad 3x^2 = -4y.","sympy:eq(3*x**2, -4*y)","sympy:eq(x**2, -4*y/3)",False,False,False,True,False,False,False,False,False,False,False,True,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
217,images/item217.png,high,b = \frac{33}{4},\textcolor{red}{a} = \frac{3}{4} \quad \textcolor{red}{\text{and}} \quad \textcolor{red}{b} = \frac{33}{4}.,"sympy:eq(b, 33/4)",text:a = \frac{3}{4} and b = \frac{33}{4},False,False,False,True,False,False,False,False,False,False,False,True,False,False,true_correct,high,visually correct a = 3/4 and b = 33/4; model span shows only b.,extraction_ok,True
230,images/item230.png,high,"x^2 = 4(z)z, \text{i.e.,} x^2 = 8z.","x^2 = 4(2)\textcolor{red}{z}, \quad \text{i.e.,} \quad x^2 = 8\textcolor{red}{z}.","sympy:eq(x**2, 4*(z*z))","sympy:eq(x**2, 4*(2*z))",False,False,False,True,False,False,False,False,False,False,False,True,False,False,true_correct,high,final equation x^2 = 8z consistent on both sides.,extraction_ok,True
240,images/item240.png,high,"\frac{1}{2} \begin{vmatrix}
1 & 3 & 1 \\
0 & 0 & 1 \\
K & 0 & 1 
\end{vmatrix} = \pm 3.","\textcolor{red}{\frac{3k}{2}} = \pm 3, \quad \text{i.e.,} \quad k = \pm 2.",text:\frac{1}{2} \begin{vmatrix} 1 3 1 0 0 1 k 0 1 \end{vmatrix} = \pm 3,"sympy:eq(textcolor*(((3*k)/2)*(r*(d*e))), pm*3)",False,False,False,True,False,False,False,False,False,False,False,True,False,True,extraction_issue,high,only part of the determinant work; the answer includes y = 3x and k = +-2.,extraction_issue,True
245,images/item245.png,high,50y^2 - 88x^2 = 275,"\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\textcolor{red}{\frac{25}{2}}} = 1, \text{ i.e., } \textcolor{red}{50}y^2 - \textcolor{red}{88}x^2 = 275.","sympy:eq(-88*x**2 + 50*y**2, 275)","text:\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\textcolor{red}{\frac{25}{2}}} = 1, i.e., 50y^2 - 88x^2 = 275",False,False,False,True,False,False,False,False,False,False,False,True,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
263,images/item263.png,high,z=k1,"x = \textcolor{red}{x2}, \quad y = 2, \quad z = \textcolor{red}{k1}.","sympy:eq(z, k*1)","sympy:eq(x, x*2)",False,False,False,True,False,False,False,False,False,False,False,True,False,False,extraction_issue,high,partial multi-answer: model span has only z = k1.,extraction_issue,True
264,images/item264.png,high,"Solving (1) and (2), we get: A = 45^\circ and B = 15^\circ",B = 15^\circ,"text:solving (1) and (2), we get: a = 45^\circ and b = 15^\circ","sympy:eq(b, 15**circ)",False,False,False,True,False,False,False,False,False,False,False,True,False,True,true_correct,high,spans give A = 45 and B = 15; SymPy/truth span keep only B.,extraction_ok,True
298,images/item298.png,high,x = 2 \quad \text{and},x = 2 \quad \text{and} \quad \textcolor{red}{y = 3).,"sympy:eq(x, 2*(a*(d*n)))",text:x = 2 and \textcolor{red}{y = 3),False,False,False,True,False,False,False,False,False,False,False,True,False,False,extraction_issue,high,partial/misaligned spans; the answer needs both x = 2 and y = 3.,extraction_issue,True
106,images/item106.png,high,"Also, note that 42 is divisible by 2 and 3","\quad \textcolor{red}{\text{Also, note that } 42 \text{ is divisible by 2 and 3.}}",sympy:a*(l*(o*s)),sympy:a*(l*(o*s)),True,True,False,False,False,True,False,False,False,True,False,False,False,True,extraction_issue,high,explanatory span; the answer is the squares 39^2 = 1521 and 42^2 = 1764.,extraction_issue,True
116,images/item116.png,high,"y \in [8, \infty).","\textcolor{red}{y} \in [8, \infty)",sympy:in*y,sympy:in*y,True,True,False,False,False,True,False,False,False,True,True,False,False,False,true_correct,high,"final solution y in [8, inf) matches; SymPy formatting odd but visually fine.",extraction_ok,True
125,images/item125.png,high,"Similarly, the direction cosines of the b-axis and c-axis are 0, 1, 0 and 0, 0, 1 respectively","0, 0, 1","text:similarly, the direction cosines of the b-axis and c-axis are 0, 1, 0 and 0, 0, 1 respectively",sympy:0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,true_correct,high,"direction cosines for all three axes; truth span keeps only (0,0,1).",extraction_ok,True
147,images/item147.png,high,"12, 35, 37","12, 35, 37",sympy:12,sympy:12,True,True,False,False,False,True,False,False,False,True,False,False,False,False,true_correct,high,"triplet 12, 35, 37; SymPy collapses to 12.",extraction_ok,True
149,images/item149.png,high,1^\circ,"0^\circ, 0^\circ, 1^\circ",sympy:1**circ,sympy:0**circ,False,False,False,False,False,True,False,False,False,True,False,False,False,True,true_correct,high,direction cosines partial in extraction but the visual answer is correct.,extraction_ok,True
215,images/item215.png,high,"\frac{3}{\sqrt{77}}, \frac{-2}{\sqrt{77}}, \frac{8}{\sqrt{77}}","\frac{3}{\sqrt{77}}, \quad \frac{-2}{\sqrt{77}}, \quad \frac{8}{\sqrt{77}}.",sympy:3/(sqrt(77)),sympy:3/(sqrt(77)),True,True,False,False,False,True,False,False,False,True,False,False,False,True,true_correct,high,"direction cosines 3/sqrt77, -2/sqrt77, 8/sqrt77; SymPy keeps the first.",extraction_ok,True
222,images/item222.png,high,"18, 81, 42, 24","Hence, possible orders are \textcolor{red}{1 \times 8, 8 \times 1, 4 \times 2, 2 \times 4}",sympy:18,sympy:h*(e*(n*(c*e))),False,False,False,False,False,True,False,False,False,True,True,False,False,True,true_correct,high,"possible orders 18, 81, 42, 24; SymPy collapses to 18.",extraction_ok,True
224,images/item224.png,high,\beta,"\textcolor{red}{\text{Also, prime numbers such as 2, 3, 5, and 7 have unique properties that are interesting to study.}}",sympy:beta,sympy:a*(l*(o*s)),False,False,False,False,False,True,False,False,False,True,False,False,False,True,extraction_issue,high,"span is a beta/text fragment, not the conclusion that the expression is irrational.",extraction_issue,True
