item_id,has_error,strict_v1_correct,strict_v2_correct,answer_type,question_type_if_available,entropy,parse_failed,max_entropy,span_m_disp,span_t_disp,label_m,label_t,human_label_if_available,human_truth_if_available,extraction_status_if_available,error_location_if_available,error_type_if_available,image_path_if_available,n_red_spans,red_spans_approx_only,answer_type_either_side,truth_span_len,model_span_len,answer_shape,truth_span_bucket,mcq_vs_open
71,False,False,False,derivative_equation,free_response,0.5004024235381879,False,False,3.14159.,\frac{dy}{dx} = 1. \textcolor{red}{\text{ Note that } \pi \text{ is a constant approximately equal to 3.14159.}},sympy:3.14159000000000,text:\frac{dy}{dx} = 1. note that \pi is a constant approximately equal to 3.14159,extraction_issue,indeterminate,,,,,1,\text{ Note that } \pi \text{ is a constant approximately eq,derivative_equation,112,8,structured_or_prose,very_long_>100,free_response
72,True,False,False,single_expression,free_response,1.6094379124341005,True,True,"\begin{aligned}
&\textbf{1. First expression:} \\
&5m(3 - m) = (5m \times 3) - (5m \times m) = 15m - 5m^2 \\
&\text{Now adding the second expression to it:} \\
&15m - 5m^2 + 6m^2 - 13m = m^2 \text{ meters} + 2m \text{ meters} \\
\\
&\textbf{2. First expression:} \\
&4y(3y^2 + 5y - 7) = (4y \times 3y^2) + (4y \times 5y) + (4y \times (-7)) = 12y^3 + 20y^2 - 28y \\
&\text{Second expression:} \\
&2(y^3 - 4y^2 + s) = 2y^3 + 2 \times (-4y^2) + 2 \times s = 2y^3 - 8y^2 + 2s \\
&\text{Adding the two expressions:} \\
&12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 2s = 14y^3 \text{ liters} + 12y^2 \text{ liters} - 28y + 10
\end{aligned}",12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 10 = \textcolor{red}{14y^3\ \text{liters}} + \textcolor{red}{12y^2\ \text{liters}} - 28y + 10,text:\begin{aligned} \textbf{1. first expression:} 5m(3 - m) = (5m \times 3) - (5m \times m) = 15m - 5m^2 now adding the second expression to it: 15m - 5m^2 + 6m^2 - 13m = m^2 meters + 2m meters \textbf{2. first expression:} 4y(3y^2 + 5y - 7) = (4y \times 3y^2) + (4y \times 5y) + (4y \times (-7)) = 12y^3 + 20y^2 - 28y second expression: 2(y^3 - 4y^2 + s) = 2y^3 + 2 \times (-4y^2) + 2 \times s = 2y^3 - 8y^2 + 2s adding the two expressions: 12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 2s = 14y^3 liters + 12y^2 liters - 28y + 10 \end{aligned},text:12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 10 = 14y^3\ liters + 12y^2\ liters - 28y + 10,,,,,,,4,m^2\ \text{meters} | 2m\ \text{meters} | 14y^3\ \text{liters},text_conclusion,129,624,simple_value,very_long_>100,free_response
73,False,False,False,single_expression,free_response,0.5004024235381879,False,False,\frac{5}{100} \times 450 = 22.50,\frac{5}{100} \times 450 = ₹ 22.50.,text:\frac{5}{100} \times 450 = 22.50,text:\frac{5}{100} \times 450 = ₹ 22.50,,,,,,,2,"100 is a base value often used to calculate percentages. | Note that 450 is 4.5 times 100. Therefore, the tax for ₹ 450",numeric_or_expression,35,32,simple_value,long_31-100,free_response
74,True,False,False,single_expression,free_response,1.6094379124341005,False,True,\frac{4\sqrt{5}\times\frac{\sqrt{3}}{2\sqrt{3}}}{3} = 4\sqrt{5},8\sqrt{15} \div 2\sqrt{3} = \textcolor{red}{4\sqrt{5} \times \frac{\sqrt{3}}{\sqrt{3}} = \frac{8\sqrt{3} \times \sqrt{5}}{2\sqrt{3}}} = 4\sqrt{5},text:\frac{4\sqrt{5}\times\frac{\sqrt{3}}{2\sqrt{3}}}{3} = 4\sqrt{5},"sympy:eq((8*sqrt(15))/((2*sqrt(3))), textcolor*(r*(d*e)))",,,,,,,1,4\sqrt{5} \times \frac{\sqrt{3}}{\sqrt{3}} = \frac{8\sqrt{3},numeric_or_expression,145,63,simple_value,very_long_>100,free_response
75,True,False,False,single_expression,free_response,0.9502705392332348,False,False,"P,Q,R",R,sympy:p,sympy:r,extraction_issue,indeterminate,extraction_issue,,,,1,\( PQ \times QR = PR \),multi_value,1,5,simple_value,tiny_<=3,free_response
76,False,True,True,single_expression,free_response,0.5004024235381879,False,False,zx,zx,sympy:x*z,sympy:x*z,extraction_issue,indeterminate,extraction_issue,,,,0,,numeric_or_expression,2,2,simple_value,tiny_<=3,free_response
77,False,True,True,single_expression,free_response,0.0,False,False,m,m,sympy:m,sympy:m,true_correct,correct,extraction_ok,,,,0,,numeric_or_expression,1,1,simple_value,tiny_<=3,free_response
78,True,True,True,mcq_option,mcq,1.3321790402101223,True,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,1,\text{Rs. } 9200 \text{ cents},mcq_option,8,8,simple_value,short_4-10,mcq
79,False,True,True,mcq_option,mcq,0.0,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,2,"
\[
= \frac{6}{10 \times 10} 
\]
 | 
\[
= 6 \times 0.01 
\]
",mcq_option,8,8,simple_value,short_4-10,mcq
80,True,False,False,text_conclusion,free_response,1.3321790402101223,False,False,= \frac{11}{4} \log \left|\frac{x+3}{x+1}\right| + \frac{5}{2(x+1)} + C,= \frac{11}{4} \log \left| \frac{\textcolor{red}{x+3}}{\textcolor{red}{x+1}} \right| + \frac{5}{2(x+1)} + C,text:= \frac{11}{4} \log |\frac{x+3}{x+1}| + \frac{5}{2(x+1)} + c,text:= \frac{11}{4} \log | \frac{x+3}{x+1} | + \frac{5}{2(x+1)} + c,,,,,,,2,x+3 | x+1,text_conclusion,107,71,structured_or_prose,very_long_>100,free_response
81,True,False,False,single_expression,free_response,1.6094379124341005,True,True,\frac{dA}{dt} = 2\pi (5)(4) = 40\pi \text{ cm}^2/\text{s},"r = 10 \, \text{cm}",text:\frac{da}{dt} = 2\pi (5)(4) = 40\pi cm^2/s,"sympy:eq(r, 10*(c*m))",extraction_issue,indeterminate,,,,,3,5 | 40\pi | 40\pi,derivative_equation,19,57,simple_value,medium_11-30,free_response
82,False,False,False,numeric,mcq,1.3321790402101223,False,False,= 0.488,0.488,text:= 0.488,sympy:0.488000000000000,extraction_issue,indeterminate,,,,,0,,numeric_or_expression,5,7,simple_value,short_4-10,mcq
83,False,False,False,text_conclusion,free_response,1.3321790402101223,True,False,,P(B \text{ wins}) = 1 - P(A \text{ wins}) = 1 - \frac{6}{11} = \frac{5}{11},<parse_failure>,text:p(b wins) = 1 - p(a wins) = 1 - \frac{6}{11} = \frac{5}{11},extraction_issue,indeterminate,extraction_issue,,,,2,The probability of A winning in the 7th throw can be similar | Recall that the sum of an infinite geometric series is given,text_conclusion,75,3,structured_or_prose,long_31-100,free_response
84,False,True,True,single_expression,free_response,0.9502705392332348,False,False,c,C,sympy:c,sympy:c,extraction_issue,indeterminate,extraction_issue,,,,2,z | t,numeric_or_expression,1,1,simple_value,tiny_<=3,free_response
85,False,True,True,mcq_option,mcq,0.0,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,1,"As an additional note, it is interesting to observe that 1 h",mcq_option,8,8,simple_value,short_4-10,mcq
86,True,True,True,mcq_option,mcq,0.5004024235381879,False,False,option a,option a,text:option a,text:option a,true_correct,correct,,,,,1,6.52,mcq_option,8,8,simple_value,short_4-10,mcq
87,True,False,False,text_conclusion,free_response,1.6094379124341005,False,True,\int \frac{\left(x^{4}-x\right)^{\frac{1}{4}}}{x^{5}} d x = \frac{1}{3} \int t^{4} d t = \frac{1}{3} \times \frac{4}{5} t^{\frac{5}{4}} + C = \frac{4}{15}\left(1-\frac{1}{x^{3}}\right)^{\frac{5}{4}} + C,"\int \frac{(x^4 - x)^{\frac{1}{4}}}{x^5} \, dx = \frac{1}{3} \int t^4 \, dt = \frac{1}{3} \times \frac{4}{5} t^5 + C = \frac{4}{15} \left(1 - \frac{1}{x^3}\right)^{\frac{5}{4}} + C",text:\int \frac{(x^{4}-x)^{\frac{1}{4}}}{x^{5}} d x = \frac{1}{3} \int t^{4} d t = \frac{1}{3} \times \frac{4}{5} t^{\frac{5}{4}} + c = \frac{4}{15}(1-\frac{1}{x^{3}})^{\frac{5}{4}} + c,"text:\int \frac{(x^4 - x)^{\frac{1}{4}}}{x^5} \, dx = \frac{1}{3} \int t^4 \, dt = \frac{1}{3} \times \frac{4}{5} t^5 + c = \frac{4}{15} (1 - \frac{1}{x^3})^{\frac{5}{4}} + c",,,,,,,4,"Therefore, | \[
\int \frac{(x^4 - x)^{\frac{1}{4}}}{x^5} \, dx = \frac{1} | Therefore,",text_conclusion,180,202,structured_or_prose,very_long_>100,free_response
88,False,False,False,system_answer,free_response,0.6730116670092565,False,False,5^2 = 25,"\left( \frac{5}{8} \right)^{-7} \times \left( \frac{8}{5} \right)^{-5} 
= \frac{5^{-7}}{8^{-7}} \times \frac{8^{-5}}{5^{-5}} 
= \frac{5^{-7} \times 8^{-5}}{8^{-7} \times 5^{-5}} 
= 5^{-2} \times 8^{2} = \frac{8^{2}}{5^{2}} = \frac{64}{25}.
\textcolor{red}{\text{Here, } 8^2 = 64 \text{ and } 5^2 = 25.}",text:5^2 = 25,"text:( \frac{5}{8} )^{-7} \times ( \frac{8}{5} )^{-5} = \frac{5^{-7}}{8^{-7}} \times \frac{8^{-5}}{5^{-5}} = \frac{5^{-7} \times 8^{-5}}{8^{-7} \times 5^{-5}} = 5^{-2} \times 8^{2} = \frac{8^{2}}{5^{2}} = \frac{64}{25}. here, 8^2 = 64 and 5^2 = 25",true_correct,correct,extraction_ok,,,,2,"\text{Note that } 3^2 = 9 \text{ and } 2^3 = 8. \text{ Also, | \text{Here, } 8^2 = 64 \text{ and } 5^2 = 25.",system_answer,302,8,structured_or_prose,very_long_>100,free_response
89,False,False,False,single_expression,free_response,0.6730116670092565,False,False,"[1, 5]",x = 1,"text:[1, 5]","sympy:eq(x, 1)",extraction_issue,indeterminate,extraction_issue,,,,4,"It is interesting to note that 24 is also equal to \(4! = 4  | Notice that 29 is a prime number. | Interestingly, 28 is a perfect number, as it is equal to the",multi_value,5,6,simple_value,short_4-10,free_response
90,False,True,True,single_expression,free_response,1.0549201679861442,False,False,"7.004 \times 10,000,000,000 = 70,040,000,000","7.004 \times 10,000,000,000 = 70,040,000,000","text:7.004 \times 10,000,000,000 = 70,040,000,000","text:7.004 \times 10,000,000,000 = 70,040,000,000",true_correct,correct,,,,,4,"Note that $5.9853 \times 1000 = 5985.3$, which confirms our  | We can verify this by calculating $6.595 \times 10,000 = 65, | This can be confirmed by multiplying $3.43 \times 1,000,000 ",numeric_or_expression,44,44,simple_value,long_31-100,free_response
91,True,True,True,numeric,free_response,0.0,False,False,4^n,4^n,sympy:4**n,sympy:4**n,true_correct,correct,extraction_ok,,,,1,integer,numeric_or_expression,3,3,simple_value,tiny_<=3,free_response
92,False,True,True,single_expression,free_response,1.6094379124341005,False,True,6^n - 5n,6^n - 5n,sympy:6**n - 5*n,sympy:6**n - 5*n,true_correct,correct,,,,,2,"It is important to note here that the binomial coefficient \ | Additionally, remember that factorials grow very quickly. Fo",numeric_or_expression,8,8,simple_value,short_4-10,free_response
93,True,False,False,mcq_option,mcq,1.3321790402101223,True,False,2520 + 20 = 2540,option d,text:2520 + 20 = 2540,text:option d,extraction_issue,indeterminate,,,,,2,+ | 2540,mcq_option,8,16,simple_value,short_4-10,mcq
94,True,False,False,single_expression,free_response,1.3321790402101223,False,False,6^n + 5^n,6^n + 5n,sympy:5**n + 6**n,sympy:6**n + 5*n,notation_misread,wrong,,,,,3,"To verify, let's find the remainder when \(6^n + 5n\) is div | 
\[
6^n + 5n = 1 + 25k \quad \text{where } k \text{ is an in | Thus, \(6^n + 5n\) leaves a remainder of 1 when divided by 2",numeric_or_expression,8,9,simple_value,short_4-10,free_response
95,True,False,False,single_expression,free_response,1.3321790402101223,False,False,(2x - y + z)(2x - y + z),\textcolor{red}{(2x - y + z(2x - y + z)}.,sympy:(z + (2*x - y))*(z + (2*x - y)),text:(2x - y + z(2x - y + z),needs_visual,indeterminate,,,,,2,(2x - y + z(2x - y + z) | (2x - y + z(2x - y + z),numeric_or_expression,41,24,simple_value,long_31-100,free_response
96,True,True,True,mcq_option,mcq,0.0,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,1,\frac{39 \div 5 \times 12}{30 \times 6},mcq_option,8,8,simple_value,short_4-10,mcq
97,False,True,True,single_expression,free_response,0.5004024235381879,False,False,\frac{1}{3},\frac{1}{3}.,sympy:1/3,sympy:1/3,true_correct,correct,,,,,0,,numeric_or_expression,12,11,simple_value,medium_11-30,free_response
98,False,True,True,single_expression,free_response,0.9502705392332348,False,False,90 \times 10 = 900,90 \times 10 = 900,text:90 \times 10 = 900,text:90 \times 10 = 900,true_correct,correct,,,,,1,"The number 90 can also be written as \(9 \times 10\), but th",numeric_or_expression,18,18,simple_value,medium_11-30,free_response
99,True,False,False,system_answer,free_response,0.9502705392332348,True,False,x^2 = 8x,"x^2 = 4(2)\textcolor{red}{x}, \quad \text{i.e.,} \quad x^2 = 8\textcolor{red}{x}.","sympy:eq(x**2, 8*x)","sympy:eq(x**2, 4*(2*x))",true_correct,correct,extraction_ok,,,,3,x | x | x,system_answer,81,8,structured_or_prose,long_31-100,free_response
100,True,True,True,single_expression,free_response,0.9502705392332348,False,False,= 1600 + 80 + 80 + 4 = 1800,\quad = 1600 + 80 + 80 + 4 = \textcolor{red}{1800},text:= 1600 + 80 + 80 + 4 = 1800,text:= 1600 + 80 + 80 + 4 = 1800,true_correct,correct,,,,,2,1500 | 1800,numeric_or_expression,50,27,simple_value,long_31-100,free_response
101,True,False,False,single_expression,free_response,1.6094379124341005,False,True,"Population in the beginning of 1998 = 20,000 (we treat this as the principal for the 1st year)",5 square meters},"text:population in the beginning of 1998 = 20,000 (we treat this as the principal for the 1st year)",text:5 square meters},extraction_issue,indeterminate,,,,,1,23152.5 square meters,text_conclusion,16,94,simple_value,medium_11-30,free_response
102,False,True,True,single_expression,free_response,0.0,False,False,f,f,sympy:f,sympy:f,true_correct,correct,extraction_ok,,,,0,,numeric_or_expression,1,1,simple_value,tiny_<=3,free_response
103,False,False,False,single_expression,free_response,1.6094379124341005,False,True,"A - B = \{1, 3, 5\} \text{ and } B - A = \{8\}.",A - B \neq B - A,"text:a - b = \{1, 3, 5\} and b - a = \{8\}","sympy:ne(a - b, -a + b)",extraction_issue,indeterminate,extraction_issue,,,,0,,set_answer,16,47,simple_value,medium_11-30,free_response
104,True,True,True,single_expression,free_response,0.0,False,False,\sqrt{42},\sqrt{42},sympy:sqrt(42),sympy:sqrt(42),true_correct,correct,,,,,2,\sqrt{42} = \sqrt{25 + 1 + 16} | 5\hat{i} + \hat{j} - 4\hat{k},numeric_or_expression,9,9,simple_value,short_4-10,free_response
105,True,True,True,single_expression,free_response,0.5004024235381879,False,False,b^3 - a^3 = 2^3 - 3^3 = 8 - 27 = -19,\textcolor{red}{b^3 - a^3} = 2^3 - 3^3 = 8 - 27 = -19,text:b^3 - a^3 = 2^3 - 3^3 = 8 - 27 = -19,text:b^3 - a^3 = 2^3 - 3^3 = 8 - 27 = -19,true_correct,correct,,,,,2,\( b^3 - a^3 \) | b^3 - a^3,numeric_or_expression,53,36,simple_value,long_31-100,free_response
106,False,True,True,multi_value,free_response,1.3321790402101223,False,False,"Also, note that 42 is divisible by 2 and 3","\quad \textcolor{red}{\text{Also, note that } 42 \text{ is divisible by 2 and 3.}}",sympy:a*(l*(o*s)),sympy:a*(l*(o*s)),extraction_issue,indeterminate,extraction_issue,,,,2,"\text{Also, note that } 39 \text{ is not a prime number.} | \text{Also, note that } 42 \text{ is divisible by 2 and 3.}",multi_value,82,42,structured_or_prose,long_31-100,free_response
107,False,False,False,single_expression,free_response,1.6094379124341005,False,True,"Interestingly, the number 392 is also divisible by 11 and 98, but this fact does not affect whether it is a perfect cube",},"text:interestingly, the number 392 is also divisible by 11 and 98, but this fact does not affect whether it is a perfect cube",text:},extraction_issue,indeterminate,extraction_issue,,,,1,"Interestingly, the number 392 is also divisible by 4 and 98,",multi_value,1,120,simple_value,tiny_<=3,free_response
108,True,False,False,system_answer,free_response,1.6094379124341005,False,True,4900y^{2} - 100x^{2} = 275,"\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\frac{25}{4}} = 1, \text{ i.e., } 100y^2 - 44x^2 = 275.","sympy:eq(-100*x**2 + 4900*y**2, 275)","sympy:eq(-x**2/(25/4) + y**2/((11/4)), 1)",true_correct,correct,extraction_ok,,,,1,vertices,system_answer,93,26,structured_or_prose,long_31-100,free_response
109,False,True,True,single_expression,free_response,0.5004024235381879,False,False,8^4 = (2^3)^4 = 2^{3 \times 4} = 2^{12},8^4 = (2^3)^4 = 2^{3 \times 4} = 2^{12},text:8^4 = (2^3)^4 = 2^{3 \times 4} = 2^{12},text:8^4 = (2^3)^4 = 2^{3 \times 4} = 2^{12},,,,,,,1,"We can also note that 8 is an even number, and all even numb",numeric_or_expression,39,39,simple_value,long_31-100,free_response
110,False,True,True,single_expression,free_response,0.5004024235381879,True,False,\frac{1}{52},\frac{1}{52},sympy:1/52,sympy:1/52,true_correct,correct,,,,,2,Note that this is similar to rolling a fair die where each f | This is akin to drawing a specific card from a standard deck,numeric_or_expression,12,12,simple_value,medium_11-30,free_response
111,False,False,False,text_conclusion,free_response,1.3321790402101223,False,False,\hat{b} = \frac{1}{\sqrt{14}} (2\hat{i}+3\hat{j}+\hat{k}) = \frac{2}{\sqrt{14}}\hat{i}+\frac{3}{\sqrt{14}}\hat{j}+\frac{1}{\sqrt{14}}\hat{k}.,\textcolor{red}{\hat{b}} = \frac{1}{\sqrt{14}} (2\hat{i} + 3\hat{j} + \hat{k}) = \frac{2}{\sqrt{14}} \hat{i} + \frac{3}{\sqrt{14}} \hat{j} + \frac{1}{\sqrt{14}} \hat{k}.,text:\hat{b} = \frac{1}{\sqrt{14}} (2\hat{i}+3\hat{j}+\hat{k}) = \frac{2}{\sqrt{14}}\hat{i}+\frac{3}{\sqrt{14}}\hat{j}+\frac{1}{\sqrt{14}}\hat{k},text:\textcolor{red}{\hat{b}} = \frac{1}{\sqrt{14}} (2\hat{i} + 3\hat{j} + \hat{k}) = \frac{2}{\sqrt{14}} \hat{i} + \frac{3}{\sqrt{14}} \hat{j} + \frac{1}{\sqrt{14}} \hat{k},,,,,,,6,\vec{b} | \hat{b} | \vec{b},text_conclusion,169,141,structured_or_prose,very_long_>100,free_response
112,False,True,False,text_conclusion,free_response,1.0549201679861442,False,False,"\left(\frac{f}{g}\right)(t) = \frac{t^2}{2t+1}, \quad t \neq -\frac{1}{2}.","\left( \frac{f}{g} \right)(\textcolor{red}{t}) = \frac{\textcolor{red}{t}^2}{2\textcolor{red}{t} + 1}, \quad \textcolor{red}{t} \neq -\frac{1}{2}.","sympy:eq(t*(f/g), t**2/(2*t + 1))","sympy:eq(t*(f/g), t**2/(2*t + 1))",true_correct,correct,extraction_ok,,,,15,t | t | t,text_conclusion,146,74,structured_or_prose,very_long_>100,free_response
113,False,True,True,set_answer,free_response,0.5004024235381879,False,False,R_1 \cap R_2,R_1 \cap R_2,sympy:r_{1}*(cap*r_{2}),sympy:r_{1}*(cap*r_{2}),true_correct,correct,,,,,0,,set_answer,12,12,structured_or_prose,medium_11-30,free_response
114,False,True,False,derivative_equation,free_response,1.6094379124341005,False,True,\frac{dy}{dx} = \frac{1}{2} \sqrt{\frac{(x-3)(x^{2}+4)}{3x^{2}+4x+5}} \left[ \frac{1}{(x-3)} + \frac{2x}{x^{2}+4} - \frac{6x+4}{3x^{2}+4x+5} \right],\frac{dy}{dx} = \frac{1}{2} \sqrt{\frac{(x-3)(x^2 + 4)}{3x^2 + 4x + 5}} \left[ \frac{1}{(x-3)} + \frac{2x}{x^2 + 4} - \frac{6x + 4}{3x^2 + 4x + 5} \right].,"sympy:eq(derivative(y, x), (sqrt(((x - 3)*(x**2 + 4))/((3*x**2 + 4*x) + 5))*(-(6*x + 4)/((3*x**2 + 4*x) + 5) + ((2*x)/(x**2 + 4) + 1/(x - 3))))/2)","sympy:eq(derivative(y, x), (sqrt(((x - 3)*(x**2 + 4))/((3*x**2 + 4*x) + 5))*(-(6*x + 4)/((3*x**2 + 4*x) + 5) + ((2*x)/(x**2 + 4) + 1/(x - 3))))/2)",true_correct,correct,extraction_ok,,,,1,It is important to note that the logarithm of a product is t,derivative_equation,155,148,structured_or_prose,very_long_>100,free_response
115,True,True,True,single_expression,free_response,1.6094379124341005,False,True,"= 56100 \, \text{cm}^2 = 5.61 \, \text{m}^2","= \textcolor{red}{56100} \, \text{cm}^2 = \textcolor{red}{5.61} \, \text{m}^2","text:= 56100 \, cm^2 = 5.61 \, m^2","text:= 56100 \, cm^2 = 5.61 \, m^2",,,,,,,4,60 | 205 | 56100,numeric_or_expression,77,43,simple_value,long_31-100,free_response
116,False,True,True,set_answer,free_response,0.5004024235381879,False,False,"y \in [8, \infty).","\textcolor{red}{y} \in [8, \infty)",sympy:in*y,sympy:in*y,true_correct,correct,extraction_ok,,,,10,y | y | y,set_answer,34,18,structured_or_prose,long_31-100,free_response
117,True,True,False,set_answer,mcq,0.9502705392332348,True,False,P(A|B) = \frac{P(ADB)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \frac{4 \times 13}{9 \times 13} = \frac{4}{9},P(A|B) = \frac{P(A \cap B)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \textcolor{red}{\frac{4 \times 13}{9 \times 13}} = \frac{4}{9}.,sympy:p,sympy:p,true_correct,correct,extraction_ok,,,,1,\frac{4 \times 13}{9 \times 13},set_answer,135,112,structured_or_prose,very_long_>100,mcq
118,False,False,False,single_expression,free_response,1.6094379124341005,False,True,|\frac{y}{y-1} - \frac{y}{y+1}| = y(y) - (y+1)(y-1) = y^2 - (y^2 - 1) = y^2 - y^2 + 1 = 1,\left| \textcolor{red}{\frac{y}{y-1}} \quad \textcolor{red}{\frac{y}{y+1}} \right| = \textcolor{red}{y}(y) - (y+1)(y-1) = y^2 - (y^2 - 1) = y^2 - y^2 + 1 = 1,text:|\frac{y}{y-1} - \frac{y}{y+1}| = y(y) - (y+1)(y-1) = y^2 - (y^2 - 1) = y^2 - y^2 + 1 = 1,text:| \textcolor{red}{\frac{y}{y-1}} \textcolor{red}{\frac{y}{y+1}} | = y(y) - (y+1)(y-1) = y^2 - (y^2 - 1) = y^2 - y^2 + 1 = 1,,,,,,,3,\frac{y}{y-1} | \frac{y}{y+1} | y,numeric_or_expression,157,89,simple_value,very_long_>100,free_response
119,False,False,False,single_expression,free_response,0.9502705392332348,False,False,P(R) = 1 - P(S) = 1 - 0.62 = 0.38,P(R) = 0.38,text:p(r) = 1 - p(s) = 1 - 0.62 = 0.38,"sympy:eq(p(r), 0.38)",extraction_issue,indeterminate,,,,,0,,numeric_or_expression,11,33,simple_value,medium_11-30,free_response
120,True,False,False,numeric,free_response,0.5004024235381879,False,False,S_{24} = \frac{24}{2} [2 \times 5 + (24 - 1) \times 3] = 12 [10 + 69] = 948,\textcolor{red}{948},text:s_{24} = \frac{24}{2} [2 \times 5 + (24 - 1) \times 3] = 12 [10 + 69] = 948,sympy:948,true_correct,correct,extraction_ok,,,,10,8 | 8 | 8,numeric_or_expression,20,75,simple_value,medium_11-30,free_response
121,True,True,True,single_expression,free_response,1.3321790402101223,False,False,3^2 + 4^2 = 5^2,3^2 + 4^2 = 5^2,text:3^2 + 4^2 = 5^2,text:3^2 + 4^2 = 5^2,true_correct,correct,,,,,1,24,numeric_or_expression,15,15,simple_value,medium_11-30,free_response
122,True,True,True,mcq_option,mcq,0.0,False,False,option c,option c,text:option c,text:option c,true_correct,correct,,,,,2,\times | (2x - 5)(x - 9) \neq x(x - 5),mcq_option,8,8,simple_value,short_4-10,mcq
123,True,True,True,single_expression,free_response,0.5004024235381879,False,False,x = 4,x = \textcolor{red}{4},"sympy:eq(x, 4)","sympy:eq(x, 4)",true_correct,correct,extraction_ok,,,,2,4 | 4,numeric_or_expression,22,5,simple_value,medium_11-30,free_response
124,False,True,True,single_expression,free_response,1.6094379124341005,False,True,y = \frac{1}{2x^2 + 1},y = \frac{1}{2x^2 + 1}.,"sympy:eq(y, 1/(2*x**2 + 1))","sympy:eq(y, 1/(2*x**2 + 1))",true_correct,correct,,,,,1,It is interesting to note that the integral of \( \frac{1}{y,numeric_or_expression,23,22,simple_value,medium_11-30,free_response
125,False,False,False,multi_value,free_response,1.3321790402101223,False,False,"Similarly, the direction cosines of the b-axis and c-axis are 0, 1, 0 and 0, 0, 1 respectively","0, 0, 1","text:similarly, the direction cosines of the b-axis and c-axis are 0, 1, 0 and 0, 0, 1 respectively",sympy:0,true_correct,correct,extraction_ok,,,,7,a | a | b,multi_value,7,94,structured_or_prose,short_4-10,free_response
126,True,False,False,single_expression,free_response,1.3321790402101223,True,False,,\frac{y}{4} - 7 = 3.,<parse_failure>,"sympy:eq(y/4 - 7, 3)",needs_visual,indeterminate,needs_visual,,,,4,"We then multiply both sides of the equation by 4, to get | y = 10 \times 4 = 40 | To solve this equation, first transpose 7 to the right-hand ",numeric_or_expression,20,3,simple_value,medium_11-30,free_response
127,False,True,True,single_expression,free_response,0.5004024235381879,False,False,f,f,sympy:f,sympy:f,true_correct,correct,extraction_ok,,,,0,,numeric_or_expression,1,1,simple_value,tiny_<=3,free_response
128,False,True,True,mcq_option,mcq,0.0,False,False,option d,option d,text:option d,text:option d,,,,,,,2,"A's 3 day's work = $\frac{3}{15} = \frac{1}{5}$; | If B worked alone for 2 days, B's work = $\frac{2}{20} = \fr",mcq_option,8,8,simple_value,short_4-10,mcq
129,False,False,False,text_conclusion,free_response,1.6094379124341005,False,True,\text{Percentage increase} = \frac{2}{4} \times 100 = 50\%,= \frac{\text{increase in the number of wins}}{\text{original number of wins}} \times 100 = \frac{2}{4} \times 100 = 50,text:percentage increase = \frac{2}{4} \times 100 = 50\%,text:= \frac{increase in the number of wins}{original number of wins} \times 100 = \frac{2}{4} \times 100 = 50,,,,,,,1,"In general, percentage increase is a measure of how much a q",text_conclusion,119,58,structured_or_prose,very_long_>100,free_response
130,False,False,False,single_expression,free_response,0.9502705392332348,True,False,47.62,\frac{1}{21},sympy:47.6200000000000,sympy:1/21,extraction_issue,indeterminate,,,,,2,"Additionally, knowing that 1 km = 1000 meters, we can conver | Interestingly, if we convert this distance to meters, it wou",numeric_or_expression,12,5,simple_value,medium_11-30,free_response
131,True,False,False,text_conclusion,free_response,1.3321790402101223,False,False,"\text{We know that values of } \cos x \text{ repeat after an interval of } 2\pi \text{ or } 360^\circ. \text{ Therefore}, \\
\cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(-1710^\circ + 1800^\circ) = \cos90^\circ = 0",\cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(\textcolor{red}{-1710^\circ + 1700^\circ}) = \cos(-1710^\circ + 1800^\circ) = \cos 90^\circ = 0.,"text:we know that values of \cos x repeat after an interval of 2\pi or 360^\circ. therefore, \cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(-1710^\circ + 1800^\circ) = \cos90^\circ = 0",text:\cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(-1710^\circ + 1700^\circ) = \cos(-1710^\circ + 1800^\circ) = \cos 90^\circ = 0,notation_misread,wrong,,,,,1,-1710^\circ + 1700^\circ,text_conclusion,162,235,structured_or_prose,very_long_>100,free_response
132,False,True,True,system_answer,free_response,0.6730116670092565,False,False,"x = 3, \quad y = 1.","x = 3, \, y = 1","sympy:eq(x, 3)","sympy:eq(x, 3)",true_correct,correct,extraction_ok,,,,0,,system_answer,15,19,structured_or_prose,medium_11-30,free_response
